Price_USD_per_MWh,Quantity_MW,Hour,Day,Point,maxSOC_MWh,Hybrid_Name
999.9,1e-10,0,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,0,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,0,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,0,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,0,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,0,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,0,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,0,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,0,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,0,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,0,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,0,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,1,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,1,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,1,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,1,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,1,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,1,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,1,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,1,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,1,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,1,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,1,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,2,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,2,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,2,2,240.0,HYB_DA_RT_C2
